
# MasterNode up
20 ; 14099 ; 14221
30 ; 28709 ; 28829
40 ; 49037 ; 49157
41 ; 69029 ; 69149
20 ; 13989 ; 14111
30 ; 28599 ; 28719
40 ; 48927 ; 49047
41 ; 68919 ; 69039
20 ; 14041 ; 14163
30 ; 28651 ; 28771
40 ; 48979 ; 49099
41 ; 68971 ; 69091
20 ; 14077 ; 14199
30 ; 28687 ; 28807
40 ; 49027 ; 49147
41 ; 69031 ; 69151
20 ; 14131 ; 14253
30 ; 28741 ; 28861
40 ; 49069 ; 49189
41 ; 69061 ; 69181
20 ; 14017 ; 14139
30 ; 28627 ; 28747
40 ; 49123 ; 49243
41 ; 69115 ; 69235
20 ; 14053 ; 14175
30 ; 28663 ; 28783
40 ; 49159 ; 49279
41 ; 69151 ; 69271
20 ; 14073 ; 14195
30 ; 28683 ; 28803
40 ; 49179 ; 49299
41 ; 69171 ; 69291
20 ; 14097 ; 14219
30 ; 28707 ; 28827
40 ; 49203 ; 49323
41 ; 69195 ; 69315
20 ; 14131 ; 14253
30 ; 28741 ; 28861
40 ; 49237 ; 49357
41 ; 69229 ; 69349
20 ; 13993 ; 14115
30 ; 28603 ; 28723
40 ; 49099 ; 49219
41 ; 69091 ; 69211
20 ; 14029 ; 14151
30 ; 28639 ; 28759
40 ; 49135 ; 49255
41 ; 69127 ; 69247
20 ; 14061 ; 14183
30 ; 28671 ; 28791
40 ; 48999 ; 49119
41 ; 68991 ; 69111
20 ; 13993 ; 14115
30 ; 28603 ; 28723
40 ; 48931 ; 49051
41 ; 68923 ; 69043
20 ; 14027 ; 14149
30 ; 28637 ; 28757
40 ; 48965 ; 49085
41 ; 68957 ; 69077
20 ; 14049 ; 14171
30 ; 28659 ; 28779
40 ; 48987 ; 49107
41 ; 68979 ; 69099
20 ; 14085 ; 14207
30 ; 28695 ; 28815
40 ; 49023 ; 49143
41 ; 69183 ; 69303
20 ; 14005 ; 14127
30 ; 28615 ; 28735
40 ; 48943 ; 49063
41 ; 68935 ; 69055
20 ; 14025 ; 14147
30 ; 28635 ; 28755
40 ; 48963 ; 49083
41 ; 68955 ; 69075
20 ; 14047 ; 14169
30 ; 28657 ; 28777
40 ; 48985 ; 49105
41 ; 68977 ; 69097
20 ; 14085 ; 14207
30 ; 28695 ; 28815
40 ; 49191 ; 49311
41 ; 69183 ; 69303
20 ; 13993 ; 14115
30 ; 28603 ; 28723
40 ; 49099 ; 49219
41 ; 69091 ; 69211
20 ; 14077 ; 14199
30 ; 28699 ; 28819
40 ; 49195 ; 49315
41 ; 69187 ; 69307
20 ; 14005 ; 14127
30 ; 28615 ; 28735
40 ; 49447 ; 49567
41 ; 69775 ; 69895
20 ; 14015 ; 14137
30 ; 28625 ; 28745
40 ; 49457 ; 49577
41 ; 69785 ; 69905
20 ; 14033 ; 14155
30 ; 28643 ; 28763
40 ; 49139 ; 49259
41 ; 69131 ; 69251
20 ; 14069 ; 14191
30 ; 28679 ; 28799
40 ; 49175 ; 49295
41 ; 69335 ; 69455
20 ; 14085 ; 14207
30 ; 28695 ; 28815
40 ; 49191 ; 49311
41 ; 69351 ; 69471
20 ; 14105 ; 14227
30 ; 28715 ; 28835
40 ; 49043 ; 49163
41 ; 69539 ; 69659
20 ; 14115 ; 14237
30 ; 28725 ; 28845
40 ; 49053 ; 49173
41 ; 69549 ; 69669
20 ; 14145 ; 14267
30 ; 28755 ; 28875
40 ; 49083 ; 49203
41 ; 69411 ; 69531
20 ; 14001 ; 14123
30 ; 28611 ; 28731
40 ; 48939 ; 49059
41 ; 69267 ; 69387
20 ; 14013 ; 14135
30 ; 28623 ; 28743
40 ; 49119 ; 49239
41 ; 69447 ; 69567
20 ; 14021 ; 14143
30 ; 28643 ; 28763
40 ; 49127 ; 49247
41 ; 69287 ; 69407
20 ; 14035 ; 14157
30 ; 28645 ; 28765
40 ; 49141 ; 49261
41 ; 69301 ; 69421
20 ; 14045 ; 14167
30 ; 28655 ; 28775
40 ; 49151 ; 49271
41 ; 69311 ; 69431
20 ; 14049 ; 14171
30 ; 28659 ; 28779
40 ; 49155 ; 49275
41 ; 69315 ; 69435
20 ; 14061 ; 14183
30 ; 28671 ; 28791
40 ; 49335 ; 49455
41 ; 69663 ; 69783
20 ; 14001 ; 14123
30 ; 28611 ; 28731
40 ; 49275 ; 49395
41 ; 69435 ; 69555
20 ; 14083 ; 14205
30 ; 28693 ; 28813
40 ; 49177 ; 49297
41 ; 69337 ; 69457
20 ; 13989 ; 14111
30 ; 28587 ; 28707
40 ; 49083 ; 49203
41 ; 69243 ; 69363
20 ; 14049 ; 14171
30 ; 28659 ; 28779
40 ; 49155 ; 49275
41 ; 69315 ; 69435
20 ; 14121 ; 14243
30 ; 28731 ; 28851
40 ; 49059 ; 49179
41 ; 69219 ; 69339
20 ; 14025 ; 14147
30 ; 28635 ; 28755
40 ; 49131 ; 49251
41 ; 69459 ; 69579
20 ; 14095 ; 14217
30 ; 28705 ; 28825
40 ; 49201 ; 49321
41 ; 69529 ; 69649
20 ; 13989 ; 14111
30 ; 28599 ; 28719
40 ; 48927 ; 49047
41 ; 68919 ; 69039
20 ; 14065 ; 14187
30 ; 28675 ; 28795
40 ; 49171 ; 49291
41 ; 69163 ; 69283
20 ; 14137 ; 14259
30 ; 28747 ; 28867
40 ; 49243 ; 49363
41 ; 69235 ; 69355
20 ; 14029 ; 14151
30 ; 28639 ; 28759
40 ; 48967 ; 49087
41 ; 68959 ; 69079
20 ; 14083 ; 14205
30 ; 28693 ; 28813
40 ; 49189 ; 49309
41 ; 69349 ; 69469
20 ; 13981 ; 14103
30 ; 28591 ; 28711
40 ; 49423 ; 49543
41 ; 69751 ; 69871
20 ; 14113 ; 14235
30 ; 28735 ; 28855
40 ; 49231 ; 49351
41 ; 69223 ; 69343
